"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of survivors","Number of Female","Number of Male","Number of Children","Cause of death","Location Description","Information Source","Location","Information Reliability","Migrant Route","URL","UNSD Geographical Grouping"
"44093","North Africa","January 15, 2018","2018","Jan","7","","7","20","","","","Presumed drowning","Playa Bastián in Costa Teguise, Lanzarote, Canary Islands, Spain","Salvamento Marítimo, Europa Press","28.992240230537, -13.495853341070","Verified","Western African","http://bit.ly/2mI5zFx, http://bit.ly/2r7ZgQf","Uncategorized"
"44092","Europe","January 14, 2018","2018","Jan","1","","1","","","1","","Electrocution on railway","Menton train station, France, near the border with Ventimiglia, Italy","Le Parisien, Midi Libre, TV5 Monde","43.774335500000, 7.493156700000","Partially verified","","http://bit.ly/2mxRtpp, http://bit.ly/2Dk0QDH, http://bit.ly/2EI3Bvg","Southern Europe"
"44091","Mediterranean","January 13, 2018","2018","Jan","1","","1","","","1","","Drowning","Off the coast of Mostaganem, Algeria","ObservAlgerie","36.058654404974, 0.061860512109","Partially verified","Western Mediterranean","http://bit.ly/2B25ssT","Uncategorized"
"44090","Mediterranean","January 12, 2018","2018","Jan","1","","1","","","1","","Presumed drowning","Beach in Zemmouri El Bahri, 16 kms east of Boumerdès, Algeria","El Watan","36.801272200000, 3.568616200000","Partially verified","Western Mediterranean","http://bit.ly/2FArw0Z","Uncategorized"
"44089","Europe","January 11, 2018","2018","Jan","1","","1","","","1","","Vehicle Accident","A14 motorway near Castel San Pietro, Bologna, Italy","Gazzetta del Sud, Bologna Today","44.438246540770, 11.569513556250","Partially verified","","http://bit.ly/2Dny6r9, http://bit.ly/2mmu5uT","Southern Europe"
"44088","Caribbean","January 10, 2018","2018","Jan","5","","5","","2","2","","Presumed drowning","Bodies recovered at beach in Koraal Tabak, Curaçao","El Nacional, El Nuevo Herald, Infobae, Noticias Curazao","12.149829489997, -68.805908591943","Partially verified","","http://bit.ly/2mi1QgX, https://yhoo.it/2mlBVF5, https://ind.pn/2ARObCA, http://bit.ly/2Ewlayk, http://abcn.ws/2D3xxSo","Caribbean"
"44085","Europe","January 09, 2018","2018","Jan","1","","1","","","1","","Vehicle Accident","A16 motorway, km 90 near Marck, Calais, France","La Voix du Nord, Le Parisien, Franceinfo","50.937727764813, 1.949506613770","Partially verified","","http://bit.ly/2CN2euE, http://bit.ly/2FjtPpj, http://bit.ly/2CUJgFN, http://bit.ly/2FwCvZw","Western Europe"
"44086","Mediterranean","January 09, 2018","2018","Jan","","100","100","16","","","","Presumed drowning","Off the coast of Al Khums, Libya","IOM Libya, Reuters, AFP, Libyan Navy","33.461246171967, 14.630447728125","Verified","Central Mediterranean","http://bit.ly/2FnDv26, http://reut.rs/2CJiA7F, https://yhoo.it/2CZHMv7, http://bit.ly/2Fm5Fun","Uncategorized"
"44087","Mediterranean","January 09, 2018","2018","Jan","3","8","11","43","","","","Presumed drowning","Unspecified location between Morocco and Spain","Caminando Fronteras","35.891005756583, -5.659332275391","Partially verified","Western Mediterranean","http://bit.ly/2Fm9Beh","Uncategorized"
"44084","US-Mexico Border","January 08, 2018","2018","Jan","2","","2","","","","","Unknown (skeletal remains)","Ranchlands near US Border Patrol Falfurrias Checkpoint, Brooks County, Texas, USA","Brooks County Sheriff via Breitbart","27.196064618038, -98.194781387061","Partially verified","","http://bit.ly/2AJS9wJ","Northern America"
"44080","Mediterranean","January 07, 2018","2018","Jan","2","10","12","270","2","","","Presumed drowning","Off the coast of Garabuli, Libya","IOM Libya","32.983002330562, 13.768852058594","Verified","Central Mediterranean","http://bit.ly/2Enoaxc","Uncategorized"
"44079","Mediterranean","January 06, 2018","2018","Jan","8","56","64","86","6","2","5","Unknown","Unspecified location off the coast of Libya","IOM Italy, SOS Méditerranée, MSF Sea","34.078380455797, 13.268242596875","Verified","Central Mediterranean","http://bbc.in/2Ej8fzR, http://bit.ly/2D7iXdi, http://bit.ly/2Fi3Yy0","Uncategorized"
"44078","Mediterranean","January 05, 2018","2018","Jan","4","","4","4","","","","Presumed drowning","Near Tanger-Med cargo port, 40km east of Tangiers, Morocco","Salvamento Marítimo","35.880538323659, -5.519505224414","Verified","Western Mediterranean","http://bit.ly/2qG7miM, http://bit.ly/2mcXFDW","Uncategorized"
"44077","Mediterranean","January 04, 2018","2018","Jan","1","","1","","","1","","Presumed drowning","Off the coast of Sanlúcar de Barrameda, Cádiz, Spain","Andalucía Información","36.784676783801, -6.580935208594","Partially verified","Western Mediterranean","http://bit.ly/2AwvkMU","Uncategorized"
"44054","US-Mexico Border","January 03, 2018","2018","Jan","1","","1","","","1","","Drowning","Rio Bravo, at Donna Rio Bravo International Bridge, Tamaulipas, Mexico","El Manana","26.063548853703, -98.076034806885","Partially verified","","http://bit.ly/2CSAtBY","Central America"
"44083","South America","January 01, 2018","2018","Jan","3","","3","2","1","2","","Vehicle Accident","BR-471 motorway near Santa Vitória do Palmar, Rio Grande do Sul, Brazil","El Nuevo Herald, O Globo, Diaro de Cuba","-33.517699135035, -53.334209461133","Partially verified","","http://hrld.us/2D0Ebf9, http://bit.ly/2FpLXhe, https://glo.bo/2m8LfMj","South America"
"44076","US-Mexico Border","December 31, 2017","2017","Dec","4","","4","","","","","Mixed","Brooks County, Texas, USA","Brooks County Sheriff via Breitbart","27.027305700000, -98.221297900000","Partially verified","","http://bit.ly/2AureVF","Northern America"
"44064","US-Mexico Border","December 30, 2017","2017","Dec","1","","1","","","","","Unknown","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","32.137605000000, -112.665258500000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"44068","Europe","December 29, 2017","2017","Dec","1","","1","","","1","","Crushed","Calais Port, France","The Local","50.964481619936, 1.864522486816","Partially verified","","http://bit.ly/2Duroy8","Western Europe"
"44067","Europe","December 28, 2017","2017","Dec","1","","1","","","1","","Presumed drowning","Evros River, Greece-Turkey Border","The New Arab","40.976820140548, 26.309509277344","Partially verified","","http://bit.ly/2CEpv5p, http://bit.ly/2As6RIY","Southern Europe"
"44066","Europe","December 27, 2017","2017","Dec","1","","1","","","1","","Fell","A8 motorway near Roquebrune-Cap-Martin, France","France Bleu","43.767230179939, 7.448348116211","Partially verified","","http://bit.ly/2E4MHqp, http://bit.ly/2CEojyX","Western Europe"
"44074","Mediterranean","December 25, 2017","2017","Dec","1","","1","","","1","1","Presumed drowning","Off the coast of Izmir, Turkey","Daily Sabah","38.430189025971, 27.102313915039","Partially verified","Eastern Mediterranean","http://bit.ly/2Cak3H5","Uncategorized"
"44075","Central America","December 25, 2017","2017","Dec","1","","1","","","1","","Shot","Gas station in Tapachula, Chiapas, Mexico","Conexión Migrante","14.905559900000, -92.263420600000","Partially verified","","http://bit.ly/2EmHLxb","Central America"
"44072","US-Mexico Border","December 23, 2017","2017","Dec","1","","1","","","","","Unknown (skeletal remains)","Outside Quemado, Maverick County, Texas, USA","Zócalo","28.948022900000, -100.623971100000","Partially verified","","http://bit.ly/2D2zY7h","Northern America"
"44073","US-Mexico Border","December 23, 2017","2017","Dec","1","","1","","","1","","Drowning","Río Bravo, Nuevo Laredo, Tamaulipas, Mexico","La Jornada","27.480677494132, -99.479363496826","Partially verified","","http://bit.ly/2lWoT0E","Central America"
"44070","Mediterranean","December 22, 2017","2017","Dec","1","","1","","","1","","Presumed drowning","Body recovered near Playa de Juan XXIII, Ceuta, Spain","Público, Ceuta Actualidad, La Sexta","35.878049717478, -5.327972173691","Partially verified","Western Mediterranean","http://bit.ly/2CXRJ8I, http://bit.ly/2AG7bno, http://bit.ly/2CRB2PJ","Uncategorized"
"44071","Mediterranean","December 22, 2017","2017","Dec","1","","1","","","","","Presumed drowning","Near Tripoli, Libya","IOM Libya","32.926409826220, 13.113060712109","Verified","Central Mediterranean","","Uncategorized"
"44065","Europe","December 21, 2017","2017","Dec","1","","1","","","1","1","Hit by truck","Near Calais, France","L'Express","50.953020261886, 1.919110804688","Partially verified","Calais to United Kingdom","http://bit.ly/2CRXSDE","Western Europe"
"44052","Middle East","December 19, 2017","2017","Dec","1","","1","","","1","","Hypothermia","Hospital in Edirne, Turkey, after falling into Evros river, Greece-Turkey border","Daily Sabah, Son Haberler, Milliyet","41.677129700000, 26.555714500000","Partially verified","","http://bit.ly/2z3voDi, http://bit.ly/2BMPjvB, http://bit.ly/2kPA9Lx","Western Asia"
"44053","Central America","December 19, 2017","2017","Dec","6","","6","","1","5","1","Vehicle Accident","KM 56 Highway Zaragoza-González, near Ciudad Victoria, Tamaulipas, Mexico","El Heraldo, La Tribuna, La Verdad","23.827397232912, -99.175447675391","Partially verified","","http://bit.ly/2BJUlXe, http://bit.ly/2BUaQTb, http://bit.ly/2p4K7ye","Central America"
"44063","US-Mexico Border","December 18, 2017","2017","Dec","1","","1","","","1","","Unknown (skeletal remains)","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","32.064820600000, -112.472643900000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"44082","Central America","December 18, 2017","2017","Dec","1","","1","","","1","","Hit by train","Train tracks, km 19 between Estación Zamora and Estación Pesqueira, San Miguel de Horcasitas, Sonora, Mexico","Nuevo Día Nogales","29.489876900000, -110.721806100000","Partially verified","","http://bit.ly/2FkkoWk","Central America"
"44036","Mediterranean","December 16, 2017","2017","Dec","","3","3","20","","","","Presumed drowning","Unspecified location off the coast of Morocco","Caminando Fronteras, Alarm Phone","35.882833113479, -5.803099736328","Verified","Western Mediterranean","http://bit.ly/2zjWYzz, http://bit.ly/2zjX9uJ","Uncategorized"
"44051","Middle East","December 16, 2017","2017","Dec","5","","5","","","5","2","Vehicle Accident","Unspecified location in Isfahan, Iran","IOM Afghanistan","32.449665431345, 52.163085937500","Verified","","","Western Asia"
"44050","Mediterranean","December 15, 2017","2017","Dec","1","","1","4","","1","","Unknown (found on dinghy)","4 miles off the coast of San Roque, Cádiz, Spain","Spanish Red Cross, Europa Sur, El Diario de Sevilla, La Voz Digital","36.125095674655, -5.169511656055","Verified","Western Mediterranean","http://bit.ly/2oY7V6K, http://bit.ly/2BR6Ank, http://bit.ly/2DhTTQr, http://bit.ly/2CMcvXZ","Uncategorized"
"44027","Mediterranean","December 14, 2017","2017","Dec","1","","1","68","","","","Drowning","5 nautical miles west of Alboran Island, between Spain and Morocco","Salvamento Marítimo","35.938908600000, -3.180596302148","Verified","Western Mediterranean","http://bit.ly/2C5bx8y","Uncategorized"
"44037","US-Mexico Border","December 14, 2017","2017","Dec","1","","1","","","","","Hypothermia","Ranch near Falfurrias, Brooks County, Texas","U.S. Border Patrol","27.071795621620, -98.265021009375","Verified","","http://bit.ly/2D14Ci9","Uncategorized"
"44025","US-Mexico Border","December 13, 2017","2017","Dec","7","","7","","2","8","","Hypothermia","Various locations in Texas, USA","KGNS","27.817448700000, -99.012892600000","Partially verified","","http://bit.ly/2BlQWQN","Northern America"
"44026","Mediterranean","December 13, 2017","2017","Dec","","2","2","31","","","","Presumed drowning","Unspecified location in the Alboran Sea, between Spain and Morocco","Salvamento Marítimo","36.214401400000, -3.419552700000","Verified","Western Mediterranean","http://bit.ly/2jWbwxp","Uncategorized"
"44024","US-Mexico Border","December 09, 2017","2017","Dec","1","","1","","","1","","Hypothermia","Colonia Pima 2, northeast Nogales, Sonora, Mexico","El Diaro de Sonora, InfoNogales","31.329820649800, -110.920176967090","Partially verified","","http://bit.ly/2Av0cCl, http://bit.ly/2BagwrF","Central America"
"44048","US-Mexico Border","December 09, 2017","2017","Dec","2","","2","","","","","Hypothermia","Near Highway 281, north of the Falfurrias U.S. Border Patrol checkpoint, Brooks County, Texas, USA","U.S. Border Patrol","27.205835954845, -98.140193069189","Verified","","http://bit.ly/2D14Ci9","Northern America"
"44023","US-Mexico Border","December 08, 2017","2017","Dec","1","","1","14","","1","","Hypothermia","Big Bend area, near Marfa, Presidio County, Texas, USA","U.S. Border Patrol","29.127486900000, -103.242537900000","Verified","","http://bit.ly/2iUG8OU, http://bit.ly/2l1uhCP, http://bit.ly/2ABOp5C","Northern America"
"44035","Mediterranean","December 08, 2017","2017","Dec","3","5","8","4","","3","","Drowning","Off Plage de Messida, El Kala, wilaya of El Tarf, Algeria, en route to Italy","Le Quotidien d'Oran","36.949195213437, 8.448509527539","Partially verified","Central Mediterranean","http://bit.ly/2javfZd, http://bit.ly/2Cz4wNx","Uncategorized"
"44047","US-Mexico Border","December 08, 2017","2017","Dec","1","","1","","1","","","Hypothermia","Ranch near Hidalgo, Hidalgo County, Texas, USA","U.S. Border Patrol","26.458255427725, -98.221984545508","Verified","","http://bit.ly/2D14Ci9","Northern America"
"44017","US-Mexico Border","December 07, 2017","2017","Dec","1","","1","14","","1","","Hypothermia","Paloma Ranch, near Eagle Pass, Maverick County, Texas, USA","U.S. Border Patrol","27.252321571872, -97.863335577246","Verified","","http://bit.ly/2BT4Czx, http://bit.ly/2AqCeZe, http://bit.ly/2A8r7zJ","Northern America"
"44021","US-Mexico Border","December 07, 2017","2017","Dec","1","","1","","","","","Unknown","Ranch near Falfurrias, Brooks County, Texas ","U.S. Border Patrol","27.151251312948, -98.203222913672","Verified","","http://bit.ly/2jz49Pk","Northern America"
"44022","US-Mexico Border","December 07, 2017","2017","Dec","1","","1","","","1","","Hypothermia","Ranch near Norias, Kenedy County, Texas","U.S. Border Patrol","26.764312242981, -97.799451947266","Verified","","http://bit.ly/2jz49Pk","Northern America"
"44046","US-Mexico Border","December 07, 2017","2017","Dec","1","","1","","","1","","Presumed drowning","Río Bravo, near Peñitas, Hidalgo County, Texas","U.S. Border Patrol","26.224930549802, -98.445427845508","Verified","","http://bit.ly/2BKXdWu","Northern America"
"44011","Mediterranean","December 04, 2017","2017","Dec","3","","3","40","1","2","","Presumed drowning","Off the coast of Larache, Morocco","La Vanguardia, Asia Pacific Daily, Africa News","35.317984016666, -6.323177650000","Partially verified","Western Mediterranean","http://bit.ly/2ntZrDM, http://bit.ly/2jfczry, http://bit.ly/2zVJcRw","Uncategorized"
"44012","Mediterranean","December 04, 2017","2017","Dec","1","","1","35","","1","","Drowning","Off the coast of Maro, Nerja, Spain","Spanish Red Cross, El Diario, ABC Andalucia","36.684664094550, -3.862161322656","Partially verified","Western Mediterranean","http://bit.ly/2zWUN2I, http://bit.ly/2AwVEbw, http://bit.ly/2nu4uUC","Uncategorized"
"44019","Middle East","December 04, 2017","2017","Dec","3","","3","9","","","","Vehicle Accident","15 km away from Murchehkhort, Isfahan, Iran","Voice of Refugees, EASO Social Media Monitoring Report, Iran Newspaper.com, Bartarinha","33.134302145824, 51.569516707031","Partially verified","","http://bit.ly/2iXad0a, http://bit.ly/2CcUNx6, http://bit.ly/2k7sDv8","Western Asia"
"44020","Middle East","December 04, 2017","2017","Dec","97","","97","","","","","Vehicle Accident","Various locations in Iran, coming from border with Afghanistan","Voice of Refugees, EASO Social Media Monitoring Report, Iran Newspaper.com, Bartarinha","32.687183168895, 60.060116312500","Partially verified","","http://bit.ly/2CcUNx6, http://bit.ly/2k7sDv8, http://bit.ly/2iXad0a","Western Asia"
"44034","Mediterranean","December 04, 2017","2017","Dec","1","","1","","","1","1","Presumed drowning","3,5 miles east of Kharrouba, Mostaganem, Algeria","Réflexion","36.159616714092, 0.134644935938","Partially verified","Western Mediterranean","http://bit.ly/2Bv6qQe","Uncategorized"
"44008","Middle East","December 03, 2017","2017","Dec","10","","10","8","","","6","Vehicle Accident","Altınözü district, Hatay, Turkey","Daily Sabah, Asia Pacific Daily, The New Arab","36.113614392446, 36.248016357422","Partially verified","","http://bit.ly/2BGLDJ2, http://bit.ly/2Au8yXT, http://bit.ly/2AthuMX","Western Asia"
"44033","Mediterranean","December 03, 2017","2017","Dec","","3","3","18","","","","Presumed drowning","Off the coast of Tangiers, Morocco","Alarm Phone","35.876390459221, -5.811981643750","Partially verified","Western Mediterranean","http://bit.ly/2AHkGrX","Uncategorized"
"44061","US-Mexico Border","December 03, 2017","2017","Dec","1","","1","","","1","","Unknown (skeletal remains)","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","31.695436100000, -110.418808600000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"44062","US-Mexico Border","December 03, 2017","2017","Dec","1","","1","","","1","","Unknown (skeletal remains)","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","31.855573200000, -111.320524300000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"44009","Mediterranean","November 30, 2017","2017","Nov","","28","28","6","4","24","1","Presumed drowning","Unspecified location in Gibraltar Strait. Boat left from Asilah, Morocco","Caminando Fronteras, El País","35.928564408919, -5.893536298438","Verified","Western Mediterranean","http://bit.ly/2zBICs0, http://bit.ly/2jzvL2z, http://bit.ly/2kbmi5B","Uncategorized"
"44014","US-Mexico Border","November 30, 2017","2017","Nov","1","","1","","","1","","Unknown (violence)","Tecate, Baja California, Mexico","El Mexicano","32.575382802031, -116.635383545510","Partially verified","","http://bit.ly/2AwkzOy","Central America"
"44004","Mediterranean","November 29, 2017","2017","Nov","3","1","4","2","","","","Drowning","5 miles south of Tarifa, Cádiz, Spain","Salvamento Marítimo, EFE, El Diario","35.970153678605, -5.603076408984","Verified","Western Mediterranean","http://bit.ly/2k9fLZo, http://bit.ly/2k8VtiE, http://bit.ly/2jwEJxV, http://reut.rs/2iqVm1u","Uncategorized"
"44005","US-Mexico Border","November 29, 2017","2017","Nov","1","","1","","","1","","Shot","Remote area of the Baboquivari Mountain Range, west of Three Points,  27 miles southwest of Tucson, Arizona, USA","US Border Patrol, AZ Central, Pima Office of the Medical Examiner","31.805409100000, -111.617671300000","Verified","Central America to US","http://bit.ly/2k9vqYx, http://bit.ly/2AdF1Vp","Northern America"
"44002","Mediterranean","November 28, 2017","2017","Nov","1","","1","","","1","","Presumed drowning","5 miles south of Cape Trafalgar, near Barbate, Cádiz, Spain","La Vanguardia, Caminando Fronteras","36.082470985786, -6.026000976563","Verified","Western Mediterranean","http://bit.ly/2igJf78, http://bit.ly/2ieYqO1","Uncategorized"
"44003","Europe","November 28, 2017","2017","Nov","4","","4","4","","","","Vehicle Accident","Cliff near Kavala, east of Thessaloniki, Greece","AP, Pakistan Today","40.937607000000, 24.412866000000","Partially verified","","http://bit.ly/2Bks8Fi, http://bit.ly/2iLH0bV","Southern Europe"
"44016","Central America","November 28, 2017","2017","Nov","1","","1","1","","1","1","Hit by train","Train tracks near Éjido Independencia, Tenosique, Tabasco, Mexico","El Heraldo de Tabasco","17.472665000000, -91.425051000000","Partially verified","","http://bit.ly/2Azf95s","Central America"
"44060","US-Mexico Border","November 28, 2017","2017","Nov","1","","1","","","1","","Unknown (skeletal remains)","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","31.882441400000, -111.396185700000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"44018","Mediterranean","November 27, 2017","2017","Nov","1","","1","","","1","","Unknown","Body found inside boat in Port of Melilla, Spain","La Vanguardia, El Periódico","35.290387494344, -2.926591903613","Partially verified","Western Mediterranean","http://bit.ly/2B8UkOs, http://bit.ly/2BVvfDM","Uncategorized"
"43997","Mediterranean","November 25, 2017","2017","Nov","31","","31","","18","","3","Drowning","Off the coast of Garabulli, Libya","AFP, BBC, Libyan Coast Guard","32.801959442053, 13.720786873047","Partially verified","Central Mediterranean","http://bbc.in/2jnlK8P, http://bit.ly/2BfvskW","Uncategorized"
"43998","Mediterranean","November 25, 2017","2017","Nov","1","","1","","","1","","Presumed drowning","Off the coast of Tarifa, Cádiz, Spain","Caminando Fronteras, ABC","35.988768038194, -5.611316155078","Partially verified","Western Mediterranean","http://bit.ly/2jqOBc7, http://bit.ly/2zs4i9L","Uncategorized"
"43999","Mediterranean","November 25, 2017","2017","Nov","1","","1","","","","","Presumed drowning","Off the coast of Barbate, Cádiz, Spain","Caminando Fronteras, ABC","36.178832465467, -5.909786224365","Partially verified","Western Mediterranean","http://bit.ly/2jqOBc7, http://bit.ly/2zs4i9L","Uncategorized"
"44000","Mediterranean","November 25, 2017","2017","Nov","6","","6","","","","","Presumed drowning","Unspecified location off the coast of Morocco","Caminando Fronteras","35.850559281577, -5.679503544922","Partially verified","Western Mediterranean","http://bit.ly/2zs4i9L","Uncategorized"
"44001","Mediterranean","November 25, 2017","2017","Nov","1","","1","66","","1","1","Suffocation","Off the coast of Mytilene, Lesvos, Greece","IOM Greece, Hellenic Coastguard","39.117926486658, 26.584397197559","Verified","Eastern Mediterranean","http://bit.ly/2iVS7Mn, http://www.hcg.gr/node/16588, http://bit.ly/2ADg19V","Uncategorized"
"44032","Southeast Asia","November 25, 2017","2017","Nov","3","","3","1","2","1","","Vehicle Accident","Na Yai Arm-Ban Khao Wongkot road, in Kaeng Hang Maew district of Chanthaburi, Thailand","The Nation (Thailand Portal)","13.129562500000, 101.843556800000","Partially verified","","http://bit.ly/2jas2Zz","South-eastern Asia"
"44031","Mediterranean","November 24, 2017","2017","Nov","1","","1","","","1","","Presumed drowning","3 nautical miles east of Benabdelmalek Ramdane, 38 km east of Mostaganem, Algeria","Réflexion","36.198825876138, 0.218307777344","Partially verified","Western Mediterranean","http://bit.ly/2j9ox5L","Uncategorized"
"44059","US-Mexico Border","November 24, 2017","2017","Nov","1","","1","","","1","","Unknown (skeletal remains)","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","32.179197800000, -112.947334100000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"43993","Mediterranean","November 23, 2017","2017","Nov","1","20","21","","1","","","Sickness and lack of access to medicines","Unspecified location between Libya and Italy","MSF Sea, Proactiva Open Arms, UNHCR via DPA","34.060179168559, 13.059502362500","Verified","Central Mediterranean","http://bit.ly/2A7yybs, http://bit.ly/2BgQX5M, http://bit.ly/2jptYxi, http://bit.ly/2hUswSX","Uncategorized"
"44030","Mediterranean","November 23, 2017","2017","Nov","1","","1","","","","","Presumed drowning","Off the coast of Mostaganem, Algeria","Le Huffington Post Algeria, Algérie Presse Service","36.059764585990, 0.090699623438","Partially verified","Western Mediterranean","http://bit.ly/2kGFFjD, http://bit.ly/2kI1LCb","Uncategorized"
"43991","Europe","November 22, 2017","2017","Nov","1","","1","","","1","","Unknown","Mountain village in Evros region, Greece","AP","41.244376100000, 26.135943100000","Partially verified","","http://wapo.st/2zfJNNq","Southern Europe"
"43992","Mediterranean","November 22, 2017","2017","Nov","","6","6","107","","1","","Presumed drowning","Unspecified location between Libya and Italy","Proactiva Open Arms","34.405333936080, 13.982353925000","Partially verified","Central Mediterranean","http://bit.ly/2hWHagg","Uncategorized"
"43995","Caribbean","November 22, 2017","2017","Nov","3","","3","","2","1","1","Vehicle Accident","Motorway near Hato del Medio, Monte Cristi, Dominican Republic","Listin Diario, Loop Haiti","19.693913800000, -71.315631500000","Partially verified","","http://bit.ly/2iUy7K8, http://bit.ly/2jqTZw6","Caribbean"
"44029","Mediterranean","November 22, 2017","2017","Nov","1","","1","","","1","","Presumed drowning","Off the coast of Mostaganem, Algeria","Le Huffington Post Algeria, Algérie Presse Service","36.055323767952, 0.076966713281","Partially verified","Western Mediterranean","http://bit.ly/2kGFFjD, http://bit.ly/2kI1LCb","Uncategorized"
"43990","Europe","November 21, 2017","2017","Nov","1","","1","","1","","1","Hit by train","Serbia-Croatia border","Médecins Sans Frontières","45.152321827345, 19.133105568750","Verified","","https://twitter.com/MSF_Sea/status/933377291769597954, http://bit.ly/2hP1Rat","Southern Europe"
"43984","Mediterranean","November 19, 2017","2017","Nov","3","1","4","","","3","1","Drowning","Santa Catalina, Ceuta, Spain","El Faro de Ceuta, Caminando Fronteras","35.904917419285, -5.291584069312","Partially verified","Western Mediterranean","http://bit.ly/2AY0ddX, http://bit.ly/2jby8bE, http://bit.ly/2j994Ca, http://bit.ly/2AipgJK, http://bit.ly/2ARCLzz","Uncategorized"
"43985","US-Mexico Border","November 19, 2017","2017","Nov","1","4","5","","","1","","Hyperthermia, Presumed drowning","Off the coast of La Jolla, San Diego County, California","KUSI News","32.831945758514, -117.288437837700","Partially verified","","http://bit.ly/2zjFwNo","Northern America"
"43989","US-Mexico Border","November 19, 2017","2017","Nov","1","","1","","","","","Drowning","All American Canal, between Bowker and Cole St., Calexico, Imperial County, California, USA","La Crónica","32.694220045164, -115.465535807870","Partially verified","","http://bit.ly/2A26W9x","Northern America"
"43983","South Asia","November 18, 2017","2017","Nov","5","","5","","","5","","Shot","District of Kech, Balochistan province, Pakistan, near the border with Iran","AFP via Yahoo! News","26.156055800000, 63.014757800000","Partially verified","","https://yhoo.it/2zkGfgY, http://bit.ly/2hM0DAb","Southern Asia"
"43988","Middle East","November 17, 2017","2017","Nov","1","","1","","","1","","Shot","Syrian/Turkish border, Idlib province, near Iskenderun, Hatay, Turkey","Syrian Observatory for Human Rights","36.479843444819, 36.551897838281","Partially verified","","http://www.syriahr.com/en/?p=78427","Western Asia"
"44028","Mediterranean","November 17, 2017","2017","Nov","1","","1","","","","","Presumed drowning","Off the coast of Mostaganem, Algeria","Algérie Presse Service, Le Huffington Post Algeria","36.101939856583, 0.057740639063","Partially verified","Western Mediterranean","http://bit.ly/2kI1LCb, http://bit.ly/2ARL2U7","Uncategorized"
"44058","US-Mexico Border","November 17, 2017","2017","Nov","1","","1","","","1","","Unknown (skeletal remains)","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","31.904501800000, -110.419927800000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"44015","Mediterranean","November 16, 2017","2017","Nov","1","","1","","","","","Drowning","Al Maya, west of Tripoli, Libya","IOM Libya","32.811542676207, 12.897253417969","Verified","Central Mediterranean","","Uncategorized"
"44057","US-Mexico Border","November 16, 2017","2017","Nov","1","","1","","","1","","Unknown (skeletal remains)","Pima County, Arizona, USA","Pima County Office of the Medical Examiner","31.965863000000, -110.245072000000","Verified","","http://www.humaneborders.info/app/mapa.asp","Northern America"
"43981","South Asia","November 15, 2017","2017","Nov","15","","15","","","15","","Shot","Region of Buleda, Balochistan province, Pakistan","Reuters","26.005743000000, 63.056980700000","Partially verified","","http://reut.rs/2hDHksE, http://nyti.ms/2AMgC4X","Southern Asia"
"43979","Central America","November 14, 2017","2017","Nov","2","","2","24","","2","1","Shot","Near Huimanguillo, Tabasco, Mexico, in motorway Ocozocoautla, Chiapas-Las Choapas, Veracruz","Zócalo","17.832044100000, -93.391810600000","Partially verified","","http://bit.ly/2ADFR9I, http://bit.ly/2hqwmDe","Central America"
"43980","Central America","November 14, 2017","2017","Nov","1","","1","","","1","","Vehicle Accident","Motorway Mexico-Orizaba, near Cuauhtémoc stadium, Puebla, Mexico","Periódico Central","19.067714400000, -98.187811600000","Partially verified","","http://bit.ly/2AKtitZ","Central America"
"43977","Central America","November 13, 2017","2017","Nov","2","","2","","","2","","Murdered","Bodies retrieved between Colonia Tonina and Azteca, Palenque, Chiapas, Mexico","Aristegui Noticias","17.514978700000, -91.988387200000","Partially verified","","http://bit.ly/2hqwmDe, http://bit.ly/2yZl0Bd","Central America"
"43978","Central America","November 13, 2017","2017","Nov","1","","1","","","1","","Fell from train","Train tracks in Mazatlán, Sinaloa, Mexico","Solo Noticias","23.249414800000, -106.411142500000","Partially verified","","http://bit.ly/2mueaxV","Central America"
"43973","Central America","November 12, 2017","2017","Nov","2","","2","","","2","","Vehicle Accident","Motorway near Malpaisillo, Léon, Nicaragua","El Nuevo Diario","12.616764381031, -86.678733699219","Partially verified","","http://bit.ly/2AHhx7S","Central America"
"43976","Mediterranean","November 12, 2017","2017","Nov","2","","2","","","","","Presumed drowning","Bodies retrieved near Al Maya, west of Tripoli, Libya","IOM Libya","32.821929803103, 12.898626708984","Verified","Central Mediterranean","","Uncategorized"
